source	t0	t1	t2	t3	t4	t5
23400	0.1857730253	0.1494498484	0.1430487748	0.0630516289	0.0799868363	0.1212337408
23401	0.4357832105	0.2109001046	0.1413139426	0.1497527446	0.1223674362	0.2001078361
23403	0.5876556302	0.2794508433	0.3635906705	0.3741183908	0.5451841471	0.6061449313
23404	0.1091772072	0.3959093672	0.3688599109	0.1691365823	0.1493243447	0.1838879323
23405	0.4538053674	0.4976064344	0.4126952247	0.1697070099	0.3131332032	0.2792380824
23406	2.5454252232	3.7863133965	3.3769126368	5.4846160824	6.7232260275	6.4594740771
23408	0.096816104	0.0278492622	0.0439933807	0.0739848728	0.0854341311	0.0543641672
23409	0.0087278686	0.0032111032	0.0145554049	0.0228362889	0.0208188475	0.0138919719
23410	0.1659729928	0.0615069716	0.1228037746	0.3406300289	0.4237579151	0.2460472207
23411	0.167808405	0.1598127151	0.0625137154	0.105671644	0.0913344778	0.0647597185
23412	1.8220164106	1.0672474235	2.1281891201	3.018045066	3.055073276	2.9335355651
23416	2.1876781772	0.9381792561	1.3170118636	1.3249805285	1.870431266	2.4820916551
23417	0.0159677265	0.0356171846	0.0495209986	0.0462444871	0.0427432833	0.0533052521
23420	0.428965426	0.9074587442	0.6193090367	0.3444359523	0.41064487	0.5889136642
23421	0.1032508515	0.0352095257	0.3805515919	0.6091831032	0.701899832	0.4842731241
23423	0.425330322	0.8829113636	0.8086924068	0.7783317922	0.7458819511	0.7572783412
23424	0.2746224656	0.1093749153	0.0767804328	0.504289644	0.3014153321	0.2336752544
23429	0.0872514866	0.4054111752	0.1491501069	0.3074612953	0.4089113983	0.3973552946
23431	0.2329884087	0.3068757044	0.3679677166	0.4205382982	0.3519088876	0.3900398057
23432	0.0095802178	0.0090660691	0.0083453046	0.0080902047	0.0155669968	0.0164990732
23433	0.0268880441	0.0669007479	0.0296603689	0.0305618057	0.0273640551	0.0272749077
23435	0.2502452185	0.2483405579	0.2844688215	0.1580272367	0.1742477696	0.216845507
23438	0.3573445083	0.2335464155	0.3996314902	0.3591742194	0.3370903318	0.3008470575
23443	0.0047598552	0.0105014062	0.0114694073	0.0095477484	0.0145125861	0.0159892263
23446	0.1229163988	0.0313774571	0.0649313035	0.0295651967	0.0144700759	0.0147612081
23450	0.0938015471	0.3498982158	0.3039588564	0.1649803473	0.1517947882	0.2045532198
23451	0.3533426756	0.217824586	0.1590880689	0.1271191387	0.0970584667	0.115585715
23456	0.0313143971	0.036344038	0.074415801	0.1105840626	0.1184349239	0.1234952025
23461	0.1822927641	0.110641925	0.0833243032	0.0620067955	0.1008253123	0.0361638343
23463	0.0012570503	0.0016746756	0.0153746265	0.0037779736	0.0098908282	0.0297293042
23466	1.5500841187	2.9734573962	3.8026909165	1.7366244282	1.6552600631	1.990495826
23468	0.2084866929	0.1111343414	0.2748664233	0.3880831968	0.3486874702	0.3232211326
23469	1.0414040241	0.3265811457	0.3880173138	0.5420028509	0.6257849573	0.4509910349
23471	1.6926923759	1.3470525086	0.7980814139	1.2180978687	1.19794266	0.9705725171
23473	0.0255625669	0.0120509267	0.030461921	0.0124356377	0.0160734963	0.0187045617
23474	0.2638824741	0.1470902077	0.5005051344	0.9545146027	0.8582466771	0.9050752494
23475	0.0399404236	0.0547710507	0.0668798723	0.5400531909	0.5635043662	0.4264081051
23476	0.1799131208	0.2015374015	0.1193476449	0.1215545299	0.0826072877	0.0892421333
23478	2.3893319449	1.3212088968	2.2094159974	3.8775729298	4.0179621168	4.0941669891
23479	5.4590169659	2.0058279041	2.1798862414	1.5835344086	1.4209018426	1.5951690307
23480	0.7257338988	1.3757843254	1.7892278546	2.3246480467	3.1122610495	2.5472445705
23481	0.1233632646	0.6173450704	0.6529139522	0.3407176133	0.2311528243	0.3029798949
23483	0.1455250588	0.4895916106	0.4243267089	0.3961110956	0.4583514614	0.3470205755
23484	1.3799982087	0.6273945236	0.4616450765	0.376060373	0.4547792195	0.4137211699
23492	0.8915992806	0.3385182967	0.2194769727	0.2505484115	0.2699851535	0.185491898
23499	0.5469012765	0.4636615173	0.1554396864	0.2025431314	0.2729590175	0.2427076157
23503	0.1347918349	0.092874054	0.0652463532	0.0667444037	0.0705140719	0.0872218297
23505	0.2049223675	0.1754068776	0.2088350842	0.2062078427	0.2116576158	0.2427850096
23506	0.5726905656	0.0742961286	0.103486347	0.1307771772	0.1683856387	0.1569888557
23507	0.0342234759	0.4182507649	0.095399327	0.0617411926	0.0758641282	0.065266811
23508	0.0050900826	0.0011860448	0.001516349	0.0010687166	0.0011137128	0.0019158717
23510	0.1077855016	0.0753933167	0.1125233679	0.0741532683	0.0751410282	0.0717290557
23511	0.0848456104	0.3959953707	0.3363436389	0.211774643	0.152529563	0.2235082939
23512	1.1224687191	1.3084815499	1.6509832935	1.3962886612	1.4904987485	1.5377985792
23513	1.352706852	1.3733485825	2.295990347	1.0933023893	1.2635758247	1.7220668131
23514	0.116979976	0.022490544	0.1487365878	0.103605623	0.1368783764	0.112740101
23515	0.6451493822	0.3867188732	0.1646172708	0.2898530149	0.2246480144	0.15532076
23516	0.0104992136	0.0587419886	0.0426211437	0.0442905165	0.0883487513	0.1871405392
23517	0.4330762497	1.4451268495	1.5447741543	1.1190807644	1.0935834409	1.0770316916
23518	0.0575143052	0.0713151306	0.1476743426	0.1029470034	0.0645637223	0.0854858057
23519	0.0512316897	0.1142822988	0.255305401	0.1630947041	0.1428844792	0.0903312828
23521	41.5938222767	28.6635621183	29.7180569743	30.4676181611	26.3180117515	25.5322451476
23522	0.0239676832	0.0067197709	0.0079429348	0.0130670601	0.0089231951	0.0107967083
23523	0.1827430619	0.0493951328	0.0627220904	0.0774265359	0.0949337986	0.1055799091
23524	0.8412472909	0.637804231	0.430382017	0.364457239	0.332593809	0.3509154765
23527	0.237919748	0.0559791066	0.0859508665	0.0995664946	0.0844312732	0.0818148622
23528	0.3612223283	0.3855607619	0.167288566	0.1624666795	0.122235897	0.1699042029
23530	0.0115030083	0.005965015	0.0091633381	0.0120595728	0.0120145175	0.0144278574
23531	0.3462321104	0.1396595119	0.1326327071	0.2128395928	0.367492722	0.2020690794
23533	0.0763455786	0.005575723	0.0070867732	0.0122477795	0.0181545494	0.0145523254
23534	0.0339585954	0.0495680483	0.0897130309	0.0602563082	0.0401646256	0.0593583382
23536	0.0854184495	0.0719930551	0.1257667305	0.0630984619	0.0621067291	0.0816038103
23539	0.0012924525	0.0012171341	0.0012324453	0.001200906	0.0017252084	0.0013077054
23546	0.3826271587	0.2117559929	0.136578396	0.1959802879	0.1740378696	0.1885487546
23548	0.0089034024	0.0069055828	0.0142299783	0.0131263585	0.0170406692	0.0184054077
23549	0.0844853932	0.3645055442	0.2193129334	0.1052492561	0.1002790083	0.0990596198
23550	1.1201642401	0.4536236633	0.5425750273	0.7681214578	0.8896927928	0.7435138812
23551	0.0051921301	0.0066697478	0.0056913686	0.0034337873	0.0177781516	0.0291824985
23552	0.0736250523	0.1003102832	0.0544310594	0.01167673	0.0107360293	0.0049801245
23557	0.1810275809	0.3826869788	0.5161171845	0.5014477113	0.4328182205	0.3635822291
23558	0.6684638851	0.2075707065	0.2494089224	0.3501449357	0.3992470926	0.3545607091
23559	1.5749636122	0.3355253833	0.2704426806	0.4893358981	0.5152946834	0.5401925355
23560	0.4970585567	3.6345882183	2.1530898184	1.2442639775	1.0991252003	1.3492072321
23564	0.1196461978	0.0228223724	0.0115063058	0.0517056077	0.0866695228	0.0910538586
23567	0.1757182221	0.1375532605	0.1816168183	0.0946651807	0.1187548782	0.1323253542
23568	0.5110519345	0.1934072124	0.1573200568	0.1033682092	0.1454191624	0.1560053412
23580	0.0029857457	0.0011377699	0.0011665951	0.0015096594	0.0017923513	0.0012165793
23582	0.1698773423	0.0247742632	0.0396679425	0.0466527524	0.027745805	0.058905891
23583	0.0513360951	0.0441374856	0.0785603667	0.1034587914	0.1012669304	0.1049568164
23585	0.5125041414	0.4526786929	0.2821711072	0.2783906029	0.2222868232	0.3376904968
23586	0.0813293622	0.0434088469	0.0158222593	0.1480214169	0.0499633201	0.0449048388
23587	0.1733178642	0.4231979438	0.7430195805	0.5939855151	0.5255089982	0.598095784
23588	1.0473348116	0.2219952695	0.3258332755	0.4325566447	0.3470995697	0.3020344695
23589	0.4129578207	0.0542632027	0.162501308	0.3424486643	0.5889519949	0.6140112985
23590	0.0512414381	0.2470746026	0.4882336537	0.1920002972	0.1813000609	0.2674969673
23592	0.4004735126	0.2406887312	0.1372869655	0.1173120455	0.1235901687	0.1211555566
23593	3.5627400622	0.4395592207	0.6661984883	1.4289652253	1.3960498382	1.3374351893
23594	0.003639331	0.01174395	0.3343069158	0.2616529274	0.2270391418	0.2610941659
23597	0.0546132568	0.0217916687	0.1979586805	0.4558221792	0.2899973532	0.3743583815
23598	0.0960071938	0.0653687496	0.0582750148	0.0364405668	0.0332180543	0.0322481179
23600	0.0031897006	0.0019648781	0.0072875167	0.0083848919	0.0080838317	0.0090619365
23603	0.0083906006	0.0167250088	0.1578816596	0.1604043109	0.2357493297	0.2907013042
23607	0.0091163152	0.012929898	0.0132558426	0.0105269151	0.0160052247	0.0128891142
23608	0.8002293276	0.3923337074	0.3301866547	0.4913050793	0.4546369802	0.4295685891
23609	0.2054312975	0.3550140693	0.3733228228	0.2793990695	0.2515488951	0.2246400235
23613	0.4527850713	0.0397311265	0.1181635046	0.1064897492	0.1155583292	0.1193977561
23615	0.3146460987	0.1709087262	0.2820016651	0.2034322577	0.2869909774	0.3701944651
