source	COPEB	ELK1	GATA3	IRF4	JUN	MAF	MYB	NFATC3	NFKB1	RELA	STAT3	USF2
SCO1	0.014448421788697	2	-0.060246781563587	-0.012789947735763	-0.031900604413836	0.024980409447181	-0.033809027816937	0.013291066716312	0.036610742039395	0.001072567632594	0.0587147944367	0.007413622030311
SCP2	0.00972432645825	0.224798574865831	0.055473677732031	-0.011960803203623	0.411591656195456	0.229162085421946	0.055177754723767	0.209901276661762	2	-0.026856913917341	-0.179436485963734	-0.025745693951026
CCL4	0.115649651808335	2	0.043047528058766	-0.015806146253104	2	0.923782133990958	0.160695027181402	2	-0.130319127948542	-0.015970597949968	-0.418128592630311	0.057873405271355
CCL5	-0.03399214082895	-0.176054298324492	0.199967291597189	-0.013795646171359	2	0.140900079068285	-0.013849472843157	0.069742500648905	-0.250817212335116	0.014437877632648	2	-0.032222779356322
CCL24	0.057404658463543	-0.929281368159542	-0.06126151786035	-0.004376157386128	-0.311523887265498	-0.998396343834221	-0.026275325250788	-0.998235044693636	-0.998666531050673	-0.009389392070862	-0.998346765263869	0.05913000858792
CXCL5	0.02156685237933	0.586635853611574	-0.056870244605913	-0.134376844237803	0.466806013600913	0.204713721077193	-0.039659001680344	2	-0.041230467167163	-0.097670155859967	0.08488286628022	0.015732432272264
XCL1	0.05944540145898	-0.999363747190203	0.248188489516039	0.032156250508511	-0.813787604981901	-0.999291658452752	0.178898356482053	-0.999512832261839	-0.709646952866787	0.008086063122159	-0.99617200546932	0.008484276483345
SDC1	0.06214620756701	0.171660963486716	0.072556556113093	0.014767311143152	0.157511829321765	-0.184803962176726	0.014315976732951	0.455866002276775	-0.115682002446324	-0.0275214633598	0.203962875181475	0.045430750433287
SDCBP	0.004235514211513	2	0.02273532914875	0.004434171591047	-0.723674473346624	2	-0.090719033723427	-0.732642753521515	2	0.006231825876764	-0.375490306742382	0.004467654739613
SDF2	-0.021307659597549	-0.020501022915555	-0.07622201735175	0.004419834064587	0.088432922878147	0.030946647664379	-0.111886607023642	2	-0.023270953120858	-0.00207541532103	-0.161192618040057	-0.019793685275608
SDHA	-0.047626827998478	1.09745038736318	0.007900841522394	0.008742239037611	2	2	0.02932077671425	1.35155380191156	2	0.000576816666533	1.78034231198012	-0.034069274490547
SDHB	-0.012475821114693	0.117966196712256	-0.03705258187583	-0.002985208799871	0.427855866862487	-0.105400603464245	0.009495090770195	-0.996039096593933	-0.992661075928126	-0.000493675869338	1.33277437928561	-0.010467685981776
SDHC	-0.011394928138187	-0.811594123899355	0.018002919238282	0.012931269394512	-0.55632796586098	-0.998422867722989	0.012467391822415	-0.413488035641791	-0.598832425757528	0.010347466089964	-0.998481883692066	-0.006379405354317
SDHD	-0.022805937541005	-0.991919031520455	-0.048119752304448	-0.00601817037659	-0.991473709395468	-0.991993555796764	-0.03890586110163	-0.991526401282504	0.050722737215535	-0.005456350444119	2	-0.022261541993493
SEC13	-0.025279714209452	0.71608470241283	-0.000443077323234	0.005395104244703	0.200203487822008	0.118431172647447	-0.112496627010134	0.213326847649178	0.323830615019089	-0.002743774611688	0.325772606859212	-0.020989625033975
SEC14L1	-0.011641269708264	-0.354791604794108	-0.01272845981628	0.030416818815081	-0.491638373745602	1.15739594549167	-0.026946975936465	-0.993071680405446	-0.987640365166311	0.042519988970906	-0.989306236437733	-0.012090873091789
SECTM1	0.009745406042517	-0.892628786632232	0.193566175056054	0.017643904664546	-0.998518656400566	-0.545426828721143	-0.202470352343425	-0.781578373203526	-0.999287727869013	-0.031330406662021	-0.999025139441563	0.031306664927052
TRAPPC2	-0.012362758006227	-0.215217319655075	0.056541695377626	-0.004446847028121	-0.207577277787421	-0.092268928935097	-0.000531107767785	-0.17250649928575	0.275267283178816	-0.001832161659013	2	-0.012039138517696
SEL1L	0.021770672493354	0.057866288794418	-0.007677322483663	-0.019663622617368	-0.082097101094868	-0.082286541382406	-0.045643530986869	2	-0.037892107163545	-0.026107673065684	0.211910405171939	-0.014042057306756
SELL	-0.031396263052822	0.805009820161779	0.030281990673942	0.01934611296086	0.822972625067179	-0.277123031433104	-0.117085918075375	1.27634065906866	-0.351256959148672	-0.013574714280575	0.415938832781862	-0.023216502742392
SELPLG	-0.061551900630982	-0.98266640650842	0.229653396911742	-0.004123691376528	2	-0.978966114456586	0.054476224442938	-0.98456285433191	-0.993380902150504	0.013577813172918	2	-0.050604708479475
SEPW1	0.009493863739261	2	-0.130604013218027	-0.008346402818028	2	2	0.059453039066612	2	-0.543854046182373	-0.002947981265078	1.31476078010006	0.01040115020657
MAP2K4	0.019872681679184	-0.77803452243978	-0.050877562372999	0.00168055988651	-0.374393934350221	-0.051575024482933	-0.107878212012836	-0.992094429409406	0.437518294239552	0.00086434219261	-0.989748014560387	0.016700407437973
SET	0.037104083755162	0.109016902242265	-0.01222834486863	-0.031755784196823	0.196576707078585	0.204713061278432	0.010747683224809	0.362588460192643	-0.119402308842462	-0.013734566931083	-0.373799972649934	0.025294760584775
SETMAR	0.019748651505611	2	0.002904125839819	0.029462135025758	0.14056677890396	0.109152967072736	-0.015776795711336	0.211232496108305	0.043452711963768	-0.031195662786498	0.027231393238237	0.019145639818633
SFPQ	0.017663892317084	-0.530780464551867	0.092388082577434	0.001764887304171	-0.589603036752788	-0.495523116871316	0.088620908889695	-0.046780767005581	0.252231078169674	0.004394198752293	0.817526951083607	0.007631009448353
SFRS1	0.030205217482167	-0.225301697431703	0.02918656410236	0.003029243216613	-0.268320435545028	-0.181311392391687	-0.040342701806548	-0.243004582754718	0.014892425052593	-0.01106231096494	0.362390788338586	0.006826443593425
SFRS2	0.011043078059143	-0.5907944168192	-0.050560533805577	0.004455385788648	0.045160153530019	-0.007228701447306	-0.056364208542265	-0.170686638180451	0.051274773210339	-0.000537779126882	0.041009760464904	-0.000885651979397
SFRS3	0.027476227134051	0.114031598914331	0.00593189425658	-0.001898836928234	0.289872230828742	0.070478754911545	-0.009192144584508	0.249635186976224	0.15680163100987	-0.001818687085917	-0.012052425109782	0.021727757144413
SFRS4	-0.010242810612854	0.221540296087916	-0.030614060473704	-0.00101562060278	-0.994657896760963	-0.990920299137578	-0.057526129623142	-0.070826584014473	1.14720197500975	0.000625408978344	0.423481361516704	-0.01878479330514
SFRS5	-0.007712673203816	0.274194612160178	-0.025712082380194	-0.00546119231551	0.417551551548087	-0.507443476536693	-0.037542285485349	-0.001728842609029	0.04835063827181	0.012749608350786	-0.616780010979869	-0.012597231227163
SFRS6	0.023205381020337	-0.279517181285817	0.114031737074389	0.009258144287338	-0.556563546507396	-0.333631027169368	0.044828088530789	-0.50169730557692	0.503623321764413	-0.006924105296338	-0.678336153511505	0.019424826358659
SFRS7	0.017540789563642	-0.487274435111655	-0.092724809579934	0.000580821140793	0.045628305833953	-0.239847046703629	-0.077186468673222	-0.158164753063378	-0.157766501931217	-0.003479910252289	-0.892257145936776	0.015805956140704
